DB,AB,AF,AU,AU_UN,AU1_UN,BP,C1,CR,DE,DI,DT,EM,EP,FU,FX,ID,IS,JI,LA,OA,OI,PMID,PU,PY,RP,SC,SN,SO,TC,TI,UT,VL,SR
SCOPUS,"We present VOSviewer, a freely available computer program that we have developed for constructing and viewing bibliometric maps. Unlike most computer programs that are used for bibliometric mapping, VOSviewer pays special attention to the graphical representation of bibliometric maps. The functionality of VOSviewer is especially useful for displaying large bibliometric maps in an easy-to-interpret way. The paper consists of three parts. In the first part, an overview of VOSviewer's functionality for displaying bibliometric maps is provided. In the second part, the technical implementation of specific parts of the program is discussed. Finally, in the third part, VOSviewer's ability to handle large maps is demonstrated by using the program to construct and display a co-citation map of 5,000 major scientific journals.",[],"['Nees Jan van Eck', 'Ludo Waltman']","['Leiden University', 'Erasmus University Rotterdam', 'Leiden University', 'Erasmus University Rotterdam']",Leiden University,523,"['Leiden University', 'Erasmus University Rotterdam', 'Leiden University', 'Erasmus University Rotterdam']",[],[],10.1007/s11192-009-0146-3,article,[],538,[],,[],2,Scientometrics,,[],[],,,2009,,[],,Scientometrics,19717,"Software survey: VOSviewer, a computer program for bibliometric mapping",W2150220236,84,"Nees Jan van Eck, 2009, Scientometrics"
SCOPUS,,[],"['Naveen Donthu', 'Satish Kumar', 'Debmalya Mukherjee', 'Nitesh Pandey', 'Weng Marc Lim']","['Georgia State University', 'Malaviya National Institute of Technology Jaipur', 'Swinburne University of Technology Sarawak Campus', 'University of Akron', 'Malaviya National Institute of Technology Jaipur', 'Swinburne University of Technology', 'Swinburne University of Technology Sarawak Campus']",Georgia State University,285,"['Georgia State University', 'Malaviya National Institute of Technology Jaipur', 'Swinburne University of Technology Sarawak Campus', 'University of Akron', 'Malaviya National Institute of Technology Jaipur', 'Swinburne University of Technology', 'Swinburne University of Technology Sarawak Campus']",[],[],10.1016/j.jbusres.2021.04.070,article,[],296,[],,[],,Journal of Business Research,,[],[],,,2021,,[],,Journal of Business Research,12104,How to conduct a bibliometric analysis: An overview and guidelines,W3160856016,133,"Naveen Donthu, 2021, Journal of Business Research"
SCOPUS,"We aim to develop a meaningful single-source reference for management and organization scholars interested in using bibliometric methods for mapping research specialties. Such methods introduce a measure of objectivity into the evaluation of scientific literature and hold the potential to increase rigor and mitigate researcher bias in reviews of scientific literature by aggregating the opinions of multiple scholars working in the field. We introduce the bibliometric methods of citation analysis, co-citation analysis, bibliographical coupling, co-author analysis, and co-word analysis and present a workflow for conducting bibliometric studies with guidelines for researchers. We envision that bibliometric methods will complement meta-analysis and qualitative structured literature reviews as a method for reviewing and evaluating scientific literature. To demonstrate bibliometric methods, we performed a citation and co-citation analysis to map the intellectual structure of the Organizational Research Methods journal.",[],"['Ivan Župič', 'Tomaž Čater']","['University of Ljubljana', 'University of Ljubljana']",University of Ljubljana,429,"['University of Ljubljana', 'University of Ljubljana']",[],[],10.1177/1094428114562629,article,[],472,[],,[],3,Organizational Research Methods,,[],[],,,2014,,[],,Organizational Research Methods,6631,Bibliometric Methods in Management and Organization,W3125707221,18,"Ivan Župič, 2014, Organizational Research Methods"
SCOPUS,,[],"['Nees Jan van Eck', 'Ludo Waltman']","['Leiden University', 'Leiden University']",Leiden University,285,"['Leiden University', 'Leiden University']",[],[],10.1007/978-3-319-10377-8_13,book-chapter,[],320,[],,[],,,,[],[],,,2014,,[],,,3206,Visualizing Bibliometric Networks,W150292108,,"Nees Jan van Eck, 2014, "
SCOPUS,,[],['Angela E. Pritchard'],[],,348,[],[],[],,article,[],,[],,[],,Journal of Documentation,,[],[],,,1969,,[],,Journal of Documentation,3181,Statistical bibliography or bibliometrics,W2275696275,25,"Angela E. Pritchard, 1969, Journal of Documentation"
SCOPUS,"Bibliometric methods or ""analysis"" are now firmly established as scientific specialties and are an integral part of research evaluation methodology especially within the scientific and applied fields. The methods are used increasingly when studying various aspects of science and also in the way institutions and universities are ranked worldwide. A sufficient number of studies have been completed, and with the resulting literature, it is now possible to analyse the bibliometric method by using its own methodology. The bibliometric literature in this study, which was extracted from Web of Science, is divided into two parts using a method comparable to the method of Jonkers et al. (Characteristics of bibliometrics articles in library and information sciences (LIS) and other journals, pp. 449-551, 2012: The publications either lie within the Information and Library Science (ILS) category or within the non-ILS category which includes more applied, ""subject"" based studies. The impact in the different groupings is judged by means of citation analysis using normalized data and an almost linear increase can be observed from 1994 onwards in the non-ILS category. The implication for the dissemination and use of the bibliometric methods in the different contexts is discussed. A keyword analysis identifies the most popular subjects covered by bibliometric analysis, and multidisciplinary articles are shown to have the highest impact. A noticeable shift is observed in those countries which contribute to the pool of bibliometric analysis, as well as a self-perpetuating effect in giving and taking references.",[],"['Ole Ellegaard', 'Johan Albert Wallin']","['University of Southern Denmark', 'University of Southern Denmark']",University of Southern Denmark,1809,"['University of Southern Denmark', 'University of Southern Denmark']",[],[],10.1007/s11192-015-1645-z,article,[],1831,[],,[],3,Scientometrics,,[],[],,,2015,,[],,Scientometrics,2989,The bibliometric analysis of scholarly production: How great is the impact?,W1021000864,105,"Ole Ellegaard, 2015, Scientometrics"
SCOPUS,,[],"['Diana Hicks', 'Paul Wouters', 'Ludo Waltman', 'Sarah de Rijcke', 'Ismael Ràfols']","['Georgia Institute of Technology', 'Leiden University', 'Leiden University', 'Leiden University', 'Consejo Superior de Investigaciones Científicas', 'Universitat Politècnica de València']",Georgia Institute of Technology,429,"['Georgia Institute of Technology', 'Leiden University', 'Leiden University', 'Leiden University', 'Consejo Superior de Investigaciones Científicas', 'Universitat Politècnica de València']",[],[],10.1038/520429a,article,[],431,[],,[],7548,Nature,,[],[],,,2015,,[],,Nature,2629,Bibliometrics: The Leiden Manifesto for research metrics,W2068452509,520,"Diana Hicks, 2015, Nature"
SCOPUS,,[],['Robert N. Broadus'],['University of North Carolina at Chapel Hill'],University of North Carolina at Chapel Hill,373,['University of North Carolina at Chapel Hill'],[],[],10.1007/bf02016680,article,[],379,[],,[],,Scientometrics,,[],[],,,1987,,[],,Scientometrics,1580,Toward a definition of “bibliometrics”,W2069134922,12,"Robert N. Broadus, 1987, Scientometrics"
SCOPUS,,[],"['Behnam Fahimnia', 'Joseph Sarkis', 'Hoda Davarzani']","['The University of Sydney', 'Worcester Polytechnic Institute', 'The University of Sydney']",The University of Sydney,101,"['The University of Sydney', 'Worcester Polytechnic Institute', 'The University of Sydney']",[],[],10.1016/j.ijpe.2015.01.003,review,[],114,[],,[],,International Journal of Production Economics,,[],[],,,2015,,[],,International Journal of Production Economics,2058,Green supply chain management: A review and bibliometric analysis,W1965746216,162,"Behnam Fahimnia, 2015, International Journal of Production Economics"
SCOPUS,"Abstract A Cumulative Advantage Distribution is proposed which models statistically the situation in which success breeds success. It differs from the Negative Binomial Distribution in that lack of success, being a non‐event, is not punished by increased chance of failure. It is shown that such a stochastic law is governed by the Beta Function, containing only one free parameter, and this is approximated by a skew or hyperbolic distribution of the type that is widespread in bibliometrics and diverse social science phenomena. In particular, this is shown to be an appropriate underlying probabilistic theory for the Bradford Law, the Lotka Law, the Pareto and Zipf Distributions, and for all the empirical results of citation frequency analysis. As side results one may derive also the obsolescence factor for literature use. The Beta Function is peculiarly elegant for these manifold purposes because it yields both the actual and the cumulative distributions in simple form, and contains a limiting case of an inverse square law to which many empirical distributions conform.",[],['Derek de Solla Price'],['Yale University'],Yale University,292,['Yale University'],[],[],10.1002/asi.4630270505,article,[],306,[],,[],5,Journal of the American Society for Information Science,,[],[],,,1976,,[],,Journal of the American Society for Information Science,2061,A general theory of bibliometric and other cumulative advantage processes,W2080450835,27,"Derek de Solla Price, 1976, Journal of the American Society for Information Science"
